name,country,position,club,probability,popularity,price,points,ID,young,weekday
BORYS JESIONOWSKI,POLSKA,OBROŃCA,LECHIA GDAŃSK,0.360182070,0,0.7,0,2514,True,10
KACPER NOWAKOWSKI,POLSKA,POMOCNIK,RAKÓW CZĘSTOCHOWA,0.676373548,0,0.7,0,2513,True,10
BRADLY VAN HOEVEN,HOLANDIA,POMOCNIK,MOTOR LUBLIN,0.366492147,0,1.7,1,2512,False,10
DOMINIK SARAPATA,POLSKA,POMOCNIK,GÓRNIK ZABRZE,0.174672489,0,0.7,0,2511,True,10
ERYK KOZŁOWSKI,POLSKA,POMOCNIK,JAGIELLONIA BIAŁYSTOK,0.278018599,0,0.7,0,2510,True,10
MIŁOSZ LEWANDOWSKI,POLSKA,OBROŃCA,MOTOR LUBLIN,0.366492147,18,0.7,0,2509,True,10
MATEUSZ DZIEWIATOWSKI,POLSKA,POMOCNIK,KGHM ZAGŁĘBIE LUBIN,0.420524919,14,0.7,1,2508,True,10
JESUS DIAZ,KOLUMBIA,POMOCNIK,RAKÓW CZĘSTOCHOWA,0.676373548,2,1.7,2,2507,False,10
STJEPAN LONČAR,BOŚNIA I HERCEGOWINA,POMOCNIK,LECH POZNAŃ,0.474741550,3,1.8,4,2506,False,10
DIMÍTRIOS KERAMÍTSIS,GRECJA,OBROŃCA,POGOŃ SZCZECIN,0.421097570,5,1.7,0,2505,False,10
MIGUEL NÓBREGA,PORTUGALIA,OBROŃCA,PIAST GLIWICE,0.447992056,3,1.8,0,2504,False,10
YŌSUKE FURUKAWA,JAPONIA,POMOCNIK,GÓRNIK ZABRZE,0.174672489,2,1.6,2,2503,False,10
ANDRÉAS KATSANTÓNIS,CYPR,NAPASTNIK,PIAST GLIWICE,0.447992056,23,1.7,1,2502,False,10
PETER KOVÁČIK,SŁOWACJA,POMOCNIK,JAGIELLONIA BIAŁYSTOK,0.278018599,20,1.9,4,2501,False,10
CEZARY POLAK,POLSKA,OBROŃCA,JAGIELLONIA BIAŁYSTOK,0.278018599,18,1.4,0,2500,True,10
SINAN BAKIŞ,TURCJA,NAPASTNIK,GÓRNIK ZABRZE,0.174672489,37,1.8,1,2499,False,10
PATRIK WÅLEMARK,SZWECJA,POMOCNIK,LECH POZNAŃ,0.474741550,111,1.9,8,2498,False,10
PÉTROS BANGALIÁNIS,GRECJA,OBROŃCA,PGE FKS STAL MIELEC,0.213900774,3,1.7,0,2497,False,10
PAULO HENRIQUE,PORTUGALIA,OBROŃCA,RADOMIAK RADOM,0.305219699,39,1.6,11,2496,False,10
MAXIMILLIAN OYEDELE,POLSKA,POMOCNIK,LEGIA WARSZAWA,0.589519651,59,1.6,1,2495,True,10
BUJAR PLLANA,KOSOWO,OBROŃCA,LECHIA GDAŃSK,0.360182070,9,1.7,8,2494,False,10
ANTON TSARENKO,UKRAINA,POMOCNIK,LECHIA GDAŃSK,0.360182070,45,1.7,20,2493,False,10
HUBERT ŚLICZNIAK,POLSKA,BRAMKARZ,ŚLĄSK WROCŁAW,0.340314136,23,0.7,0,2492,True,10
MACIEJ WOJCIECHOWSKI,POLSKA,POMOCNIK,POGOŃ SZCZECIN,0.421097570,8,0.7,0,2491,True,10
DARKO ČURLINOV,MACEDONIA,POMOCNIK,JAGIELLONIA BIAŁYSTOK,0.278018599,371,1.8,11,2490,False,10
LEVIS PITAN,POLSKA,OBROŃCA,PIAST GLIWICE,0.447992056,4,1.7,0,2489,True,10
IAN HOFFMAN,USA,OBROŃCA,LECH POZNAŃ,0.474741550,3,1.7,1,2488,False,10
IGOR KOŚMICKI,POLSKA,OBROŃCA,KORONA KIELCE,0.255333969,356,0.7,2,2487,True,10
MAKSYMILIAN SZADY,POLSKA,OBROŃCA,PGE FKS STAL MIELEC,0.213900774,38,0.7,0,2486,True,10
DAWID KOGUT,POLSKA,POMOCNIK,PUSZCZA NIEPOŁOMICE,0.116303256,14,0.7,0,2485,True,10
TOMÁS COSTA SILVA,PORTUGALIA,OBROŃCA,JAGIELLONIA BIAŁYSTOK,0.278018599,12,2,12,2484,False,10
OSVALDO CAPEMBA,ANGOLA,POMOCNIK,RADOMIAK RADOM,0.305219699,30,1.7,7,2483,False,10
SERGI SAMPER,HISZPANIA,POMOCNIK,MOTOR LUBLIN,0.366492147,62,1.8,9,2482,False,10
AJDIN HASIĆ,BOŚNIA I HERCEGOWINA,POMOCNIK,CRACOVIA,0.531730738,198,1.8,19,2481,False,10
DANIEL HÅKANS,FINLANDIA,POMOCNIK,LECH POZNAŃ,0.474741550,32,1.9,15,2480,False,10
DAVID EZEH,FINLANDIA,NAPASTNIK,RAKÓW CZĘSTOCHOWA,0.676373548,6,1.9,0,2479,False,10
TUDOR BĂLUȚĂ,RUMUNIA,POMOCNIK,ŚLĄSK WROCŁAW,0.340314136,5,1.7,6,2478,False,10
MARCEL REGUŁA,POLSKA,NAPASTNIK,KGHM ZAGŁĘBIE LUBIN,0.420524919,34,0.7,0,2477,True,10
JONATAN BRAUT BRUNES,NORWEGIA,NAPASTNIK,RAKÓW CZĘSTOCHOWA,0.676373548,167,1.8,19,2476,False,10
JAKUB GRZEJSZCZAK,POLSKA,OBROŃCA,WIDZEW ŁÓDŹ,0.367108648,26,0.7,0,2475,True,10
