"PLAYER_INDEX","NAME","DATE","POPULARITY","diff"
1341,"Fran Tudor","202407250905",18979,3258
1285,"Lucas Luquinhas","202407250905",14330,3052
2214,"Efthýmios Kouloúris","202407250905",15845,3001
2285,"Ante Crnac","202407250905",11780,2799
2071,"Leonárdo Koútris","202407250905",8755,1890
2082,"Leonardo Rocha","202407250905",3339,1789
1835,"Wahan Biczachczjan","202407250905",5311,1609
1795,"Sławomir Abramowicz","202407250905",7635,1574
1889,"Kacper Łukasiak","202407250905",1655,1556
1319,"Paweł Wszołek","202407250905",15219,1538
1712,"Joel Pereira","202407250905",9140,1375
1920,"Rui Filipe Nene","202407250905",7042,1345
2342,"Tommaso Guercio","202407250905",1570,1318
991,"Tomasz Neugebauer","202407250905",3325,1285
1010,"Jorge Félix Garcia","202407250905",6320,1262
2189,"Adrián Diéguez","202407250905",4673,1232
923,"Rafał Augustyniak","202407250905",2737,973
1632,"Antoni Kozubal","202407250905",4598,959
1475,"Mikael Ishak","202407250905",9506,950
1715,"Kacper Tobiasz","202407250905",5572,939
1490,"Kacper Trelowski","202407250905",1531,914
2238,"Dino Hotic","202407250905",1599,901
1757,"Bartosz Mrozek","202407250905",4541,850
1880,"Ilja Szkurin","202407250905",7787,832
1898,"Marc Gual","202407250905",16558,658
2046,"Dawid Drachal","202407250905",1240,641
10,"Kamil Pestka","202407250905",1994,636
2095,"Jan Ziółkowski","202407250905",2912,625
2417,"Filip Luberecki","202407250905",3244,622
1900,"Władysław Koczerhin","202407250905",5306,586
2389,"Lamine Diaby-Fadiga","202407250905",1258,575
1906,"Maciej Kikolski","202407250905",2459,527
86,"Taras Romanczuk","202407250905",4170,477
2286,"Valentin Cojocaru","202407250905",6632,452
1299,"Jean Carlos Silva","202407250905",4938,400
2391,"Miki Villar","202407250905",638,399
765,"Jesús Imaz","202407250905",10683,398
1263,"Maciej Domański","202407250905",2495,347
2190,"Dominik Marczuk","202407250905",14060,342
1545,"Matej Rodin","202407250905",683,342
1573,"Antonio Milić","202407250905",2358,340
1931,"Steve Kapuadi","202407250905",1347,301
455,"Jakub Łukowski","202407250905",685,292
2365,"João Peglow","202407250905",389,269
2073,"Linus Wahlqvist","202407250905",5935,266
1576,"Jesper Karlström","202407250905",1246,253
1386,"Ariel Mosór","202407250905",5257,252
2191,"Radovan Pankov","202407250905",816,249
1521,"Bartosz Kapustka","202407250905",3209,248
1424,"Mateusz Marzec","202407250905",308,244
1146,"Aleksander Buksa","202407250905",4226,242
2110,"Camilo Mena","202407250905",4321,239
2222,"Aleks Petkow","202407250905",3062,233
2030,"Gustav Berggren","202407250905",856,233
2312,"Patryk Paryzek","202407250905",1618,229
1362,"Tomas Pekhart","202407250905",1157,223
1169,"Mateusz Skrzypczak","202407250905",2474,214
1384,"Mateusz Kochalski","202407250905",4207,211
2399,"Bohdan Sarnawśkyj","202407250905",924,210
1702,"Lukas Podolski","202407250905",3999,208
2209,"Elias Andersson","202407250905",639,207
2104,"Michal Sáček","202407250905",2325,206
1015,"Mariusz Malec","202407250905",1766,205
1477,"Kacper Sezonienko","202407250905",2204,203
2304,"Bartosz Głogowski","202407250905",1402,200
1250,"Benedikt Zech","202407250905",806,200
2225,"Fran Álvarez","202407250905",2848,199
2092,"Adrian Przyborek","202407250905",2880,183
1853,"Bogdan Racovițan","202407250905",2739,182
2226,"Kamil Cybulski","202407250905",3318,180
2083,"Aurélien Nguiamba","202407250905",452,179
2448,"Alex Douglas","202407250905",708,179
2354,"Rafał Gikiewicz","202407250905",5639,176
2311,"Paweł Kwiatkowski","202407250905",4068,175
2052,"Rafał Mamla","202407250905",2529,157
184,"Rafał Wolski","202407250905",1995,155
1225,"Jan Grzesik","202407250905",498,154
1994,"Miłosz Strzeboński","202407250905",1012,151
790,"František Plach","202407250905",3070,146
1964,"Afonso Sousa","202407250905",1591,141
1794,"Kamil Grosicki","202407250905",11222,141
1562,"Kristoffer Velde","202407250905",6653,129
1493,"Michał Szromnik","202407250905",470,128
256,"Jakub Czerwiński","202407250905",2070,125
2387,"José Manuel Josema","202407250905",945,120
942,"Fabian Piasecki","202407250905",1103,119
1922,"Dominik Piła","202407250905",457,118
813,"Mateusz Żyro","202407250905",1757,118
1168,"Patryk Makuch","202407250905",3070,117
20,"Damian Dąbrowski","202407250905",945,112
2239,"Igor Orlikowski","202407250905",1279,109
2300,"Wiktor Koptas","202407250905",6248,108
2059,"Jakub Kolan","202407250905",1498,106
2094,"Filip Rejczyk","202407250905",1331,103
2155,"Kewin Komar","202407250905",1293,101
2458,"Hubert Zwoźny","202407250905",1900,98
1918,"Paweł Olkowski","202407250905",318,93
2431,"Rúben Vinagre","202407250905",2228,92
1719,"Michael Ameyaw","202407250905",2638,87
1480,"Arkadiusz Pyrka","202407250905",1765,86
1770,"Tomasz Pieńko","202407250905",998,84
1948,"Henrich Ravas","202407250905",996,84
1438,"Krystian Getinger","202407250905",3445,83
2450,"Ivan Brkić","202407250905",473,83
171,"Michał Chrapek","202407250905",828,82
2070,"Bartłomiej Jelonek","202407250905",1042,81
777,"Mateusz Żukowski","202407250905",266,81
2317,"Ryōya Morishita","202407250905",945,81
1486,"Alexander Gorgon","202407250905",875,78
587,"Patryk Dziczek","202407250905",1909,78
2402,"Andrei Chindriș","202407250905",270,72
2056,"Mateusz Kempski","202407250905",764,71
1781,"Raphael Rossi","202407250905",360,70
2457,"Mick van Buren","202407250905",881,67
2404,"Miłosz Kałahur","202407250905",188,66
130,"Jasmin Burić","202407250905",616,66
1569,"Oskar Wójcik","202407250905",688,63
2302,"Adam Chojecki","202407250905",547,63
1854,"Nikodem Zielonka","202407250905",561,62
1791,"Adriel Ba Loua","202407250905",723,60
2374,"Patryk Szczuka","202407250905",2001,59
2303,"Michał Wróblewski","202407250905",918,59
2414,"Oskar Jeż","202407250905",2461,59
395,"Jarosław Kubicki","202407250905",209,57
2237,"Olaf Korczakowski","202407250905",216,57
2455,"Jakub Pestka","202407250905",1671,56
2293,"Radosław Turek","202407250905",1538,55
272,"Mateusz Matras","202407250905",1758,54
2061,"Mateusz Stawny","202407250905",665,54
2428,"Claude Gonçalves","202407250905",2921,53
2007,"Michał Matys","202407250905",1023,50
461,"Piotr Wlazło","202407250905",1093,49
2405,"Elias Olsson","202407250905",582,49
166,"Rafał Janicki","202407250905",1740,48
1767,"Gabriel Kirejczyk","202407250905",386,48
2408,"Rifet Kapić","202407250905",389,47
2358,"Jin-hyun Lee","202407250905",130,47
2361,"Adam Sendor","202407250905",1019,47
2063,"Piotr Liszewski","202407250905",1326,47
633,"Mateusz Wdowiak","202407250905",782,45
244,"Radosław Murawski","202407250905",1114,44
2418,"Konrad Magnuszewski","202407250905",5400,44
2464,"Igor Bartnik","202407250905",563,43
1012,"Patryk Sokołowski","202407250905",551,41
1814,"Patryk Kusztal","202407250905",1045,41
2306,"Tobiasz Mras","202407250905",466,41
8,"Paweł Jaroszyński","202407250905",1356,41
2295,"Daniel Bąk","202407250905",792,41
1830,"Miłosz Piekutowski","202407250905",676,40
2434,"Michał Perchel","202407250905",739,40
518,"Michał Walski","202407250905",550,40
2103,"Kamil Soberka","202407250905",598,40
1822,"Alexander Steffen","202407250905",952,39
2407,"Louis D'Arrigo","202407250905",129,39
168,"Paweł Stolarski","202407250905",832,39
2332,"Mikołaj Tudruj","202407250905",528,38
2363,"Jakub Jezierski","202407250905",731,36
2388,"Manuel Sánchez","202407250905",625,36
1926,"Roberto Alves","202407250905",188,36
2366,"Konrad Golonka","202407250905",710,35
106,"Grzegorz Rogala","202407250905",774,35
773,"Mathieu Scalet","202407250905",185,34
2465,"Patryk Romanowski","202407250905",253,34
640,"Bartosz Kopacz","202407250905",822,34
2335,"Lirim Kastrati","202407250905",475,34
1936,"Hubert Szulc","202407250905",726,33
2198,"Jan Krzywański","202407250905",833,32
2435,"Zié Ouattara","202407250905",426,32
720,"Michal Siplak","202407250905",207,30
1433,"Mateusz Dudek","202407250905",1012,30
988,"Krzysztof Kubica","202407250905",352,30
2439,"Marvin Senger","202407250905",97,29
1982,"Jakub Lis","202407250905",879,29
2378,"Bartosz Baranowicz","202407250905",126,28
1865,"Igor Strzałek","202407250905",318,28
1471,"Kamil Lukoszek","202407250905",338,28
1402,"Radosław Cielemęcki","202407250905",116,28
2386,"Patrik Hellebrand","202407250905",413,28
1029,"Bartłomiej Żynel","202407250905",293,28
851,"Mateusz Cholewiak","202407250905",198,28
830,"Serafin Szota","202407250905",612,28
2119,"Łukasz Gerstenstein","202407250905",1326,26
2401,"Bartosz Brylowski","202407250905",785,26
563,"Marcin Wasielewski","202407250905",219,26
2249,"Kacper Piechota","202407250905",1211,26
1944,"Marek Hanousek","202407250905",223,25
950,"Mateusz Cichocki","202407250905",111,25
2002,"Léo Borges","202407250905",196,25
1754,"Michał Król","202407250905",173,24
2281,"Sebastian Kerk","202407250905",81,24
1241,"Tomáš Huk","202407250905",142,24
88,"Dawid Szymonowicz","202407250905",314,23
2436,"Adriano Amorim","202407250905",647,23
705,"Damian Rasak","202407250905",1238,23
2273,"Peter Pokorný","202407250905",202,23
2397,"Kacper Gutowski","202407250905",672,22
2376,"Łukasz Trepka","202407250905",2655,22
1040,"Michał Ozga","202407250905",250,21
37,"Damian Jakubik","202407250905",601,21
1498,"Fryderyk Gerbowski","202407250905",307,20
2367,"Wojciech Mońka","202407250905",1019,20
2057,"Józef Kolasa","202407250905",697,19
2058,"Filip Kocaba","202407250905",346,19
2158,"Filip Gil","202407250905",1396,19
409,"Konrad Jałocha","202407250905",216,19
2264,"Krzysztof Kurowski","202407250905",402,18
535,"Artur Jędrzejczyk","202407250905",1045,18
2384,"Borja Galán","202407250905",1256,18
1021,"Mateusz Radecki","202407250905",75,18
1638,"Norbert Pacławski","202407250905",242,18
1393,"Kamil Kruk","202407250905",283,17
2328,"Szymon Gierlach","202407250905",360,17
2283,"Kamil Glik","202407250905",932,17
264,"Sebastian Rudol","202407250905",215,17
1529,"Mariusz Fornalczyk","202407250905",253,17
994,"Lukas Klemenz","202407250905",296,16
2074,"Maciej Kowal","202407250905",222,16
2373,"Przemysław Pęksa","202407250905",410,16
2134,"Bartosz Tomaszewski","202407250905",299,16
2265,"Stanisław Szczyrek","202407250905",217,16
2400,"Marcel Bajko","202407250905",419,16
2251,"Alan Rybak","202407250905",160,16
2398,"Bartłomiej Kałduński","202407250905",421,16
2395,"Mateusz Mędrala","202407250905",303,15
231,"Tomasz Mokwa","202407250905",731,15
679,"Jakub Serafin","202407250905",94,15
2419,"Piotr Ceglarz","202407250905",1000,15
2069,"Szczepan Mucha","202407250905",363,14
1398,"Jakub Sypek","202407250905",44,14
808,"Dariusz Kamiński","202407250905",93,14
2250,"Dawid Rychta","202407250905",302,14
1561,"Szymon Pankiewicz","202407250905",249,14
2298,"Igor Pieprzyca","202407250905",449,14
1772,"Kacper Lepczyński","202407250905",423,14
2291,"Szymon Doba","202407250905",433,14
1580,"Patryk Konik","202407250905",202,14
2196,"Krzysztof Wołkowicz","202407250905",60,13
2396,"Igor Kornobis","202407250905",137,13
1943,"Kristoffer Hansen","202407250905",3643,13
1089,"Marcel Zapytowski","202407250905",202,13
1455,"Aleks Ławniczak","202407250905",691,13
2200,"Marek Mróz","202407250905",75,13
1680,"Filipe Nascimento","202407250905",145,12
1688,"Rossi Pereira Leândro","202407250905",153,12
2369,"Alex Cetnar","202407250905",166,11
2321,"Rahil Mammadov","202407250905",158,11
2323,"Vágner Dias","202407250905",133,11
298,"Miłosz Trojak","202407250905",633,10
2314,"Kaan Caliskaner","202407250905",341,10
1334,"Conrado Buchanelli Holz","202407250905",1126,10
1373,"Ben Lederman","202407250905",443,10
2254,"Piotr Urbański","202407250905",467,10
2243,"Matthew Guillaumier","202407250905",167,10
2008,"Kacper Terlecki","202407250905",264,9
2410,"Iwan Żelizko","202407250905",174,9
2424,"Bartosz Wolski","202407250905",873,9
2443,"Samuel Kozlovský","202407250905",417,9
1055,"Tomasz Makowski","202407250905",144,8
791,"Dawid Błanik","202407250905",539,8
2466,"Arnau Ortiz","202407250905",30,8
2467,"Mateusz Szczepaniak","202407250905",32,7
1483,"Luís Mata","202407250905",106,7
672,"Tomasz Loska","202407250905",326,7
63,"Paweł Olszewski","202407250905",508,7
1622,"Jakub Orpik","202407250905",21,6
2463,"Karl Wendt","202407250905",22,6
1942,"Filip Zawadzki","202407250905",162,6
2324,"Baráth Baráth","202407250905",49,6
2262,"Filip Rózga","202407250905",211,6
432,"Grzegorz Tomasiewicz","202407250905",265,6
2299,"Norbert Barczak","202407250905",442,6
1331,"Thiago Rodrigues de Souza","202407250905",28,-6
2432,"Jakov Blagaić","202407250905",206,-6
2310,"Muhamed Šahinović","202407250905",209,-7
1696,"Jakub Jugas","202407250905",71,-7
2087,"Arttu Hoskonen","202407250905",81,-7
850,"Arkadiusz Najemski","202407250905",60,-7
2403,"Loup-Diwan Guého","202407250905",71,-7
2371,"Bartosz Biedrzycki","202407250905",57,-7
2290,"Marco Burch","202407250905",13,-7
558,"Dušan Kuciak","202407250905",535,-8
1720,"Miguel Muñoz","202407250905",62,-8
64,"Kamil Pajnowski","202407250905",1194,-9
2382,"Kacper Pietrzyk","202407250905",514,-9
2176,"Mateusz Kowalczyk","202407250905",142,-9
1469,"Jakub Myszor","202407250905",110,-9
1389,"Filip Bednarek","202407250905",407,-10
2427,"Kacper Wełniak","202407250905",175,-10
2107,"Danijel Lončar","202407250905",88,-10
1751,"Koki Hinokio","202407250905",496,-10
2252,"Jordan Majchrzak","202407250905",340,-10
1096,"Hubert Sobol","202407250905",626,-11
1669,"Serhij Krykun","202407250905",77,-11
1635,"Filip Koperski","202407250905",262,-11
2220,"Bert Esselink","202407250905",190,-11
2211,"Juergen Elitim","202407250905",45,-11
2444,"Marcel Krajewski","202407250905",179,-11
948,"Märten Kuusk","202407250905",74,-12
2208,"Martin Remacle","202407250905",482,-12
2413,"Bohdan Wjunnyk","202407250905",133,-12
1004,"Jakub Arak","202407250905",416,-12
2383,"Shun Shibata","202407250905",123,-13
1400,"Xavier Dziekoński","202407250905",1759,-13
1971,"Benjamin Källman","202407250905",2813,-13
2462,"Amir Al-Ammari","202407250905",252,-13
2336,"Sōichirō Kōzuki","202407250905",710,-14
2280,"Fredrik Ulvestad","202407250905",2704,-14
1766,"Jakub Mądrzyk","202407250905",196,-14
181,"Bartłomiej Pawłowski","202407250905",346,-14
1194,"Aleksander Paluszek","202407250905",84,-15
1747,"Igor Drapiński","202407250905",209,-15
681,"Michał Nalepa","202407250905",210,-15
1506,"Milan Rundić","202407250905",206,-15
2206,"Adrián Dalmau","202407250905",266,-16
2345,"Wojciech Urbański","202407250905",262,-16
1268,"Petr Schwarz","202407250905",866,-16
2445,"Václav Sejk","202407250905",181,-16
2379,"Alan Bród","202407250905",230,-17
2089,"Mateusz Bochnak","202407250905",129,-17
2437,"Vassílis Sourlís","202407250905",104,-17
2451,"Bryan Fiabema","202407250905",427,-19
2289,"Juan Blanco","202407250905",174,-19
2429,"Marcel Mendes-Dudziński","202407250905",265,-19
2438,"Ravve Assayag","202407250905",196,-20
2307,"Jetmir Haliti","202407250905",160,-20
2380,"Kacper Ćwielong","202407250905",880,-20
1697,"Otar Kakabadze","202407250905",2820,-21
2067,"Dominick Zator","202407250905",166,-21
807,"Wojciech Hajda","202407250905",163,-21
1928,"Stratos Svarnas","202407250905",1019,-21
2352,"Fabian Bzdyl","202407250905",585,-23
2080,"Francisco Ramos","202407250905",139,-23
2339,"Guilherme Zimovski","202407250905",144,-23
1322,"Maciej Rosołek","202407250905",562,-23
2210,"Miha Blažič","202407250905",226,-25
2076,"Jean Franco Sarmiento","202407250905",91,-26
1954,"Jewgienij Szykawka","202407250905",889,-26
2325,"Erick Otieno","202407250905",459,-28
774,"Sebastian Bergier","202407250905",1644,-29
2330,"Lewuis Peña","202407250905",141,-29
1875,"Patrick Olsen","202407250905",149,-30
1771,"Bartłomiej Kłudka","202407250905",258,-30
1744,"Kacper Rosa","202407250905",277,-30
2160,"Roman Jakuba","202407250905",791,-30
2228,"Filip Przybułek","202407250905",257,-31
2447,"João Moutinho","202407250905",1701,-32
1522,"Samuel Mráz","202407250905",1096,-35
1524,"Dawid Abramowicz","202407250905",1161,-35
645,"Rafał Kurzawa","202407250905",799,-39
2411,"Tomáš Bobček","202407250905",120,-41
408,"Artur Siemaszko","202407250905",644,-42
66,"Łukasz Sołowiej","202407250905",814,-43
2123,"Michał Gurgul","202407250905",685,-43
1553,"Luka Zahovič","202407250905",1512,-44
2406,"Maksym Chłań","202407250905",342,-45
1618,"Krystian Palacz","202407250905",688,-46
2453,"Sergio Barcia","202407250905",315,-49
1193,"Piotr Krawczyk","202407250905",222,-50
714,"Damian Kądzior","202407250905",578,-51
2359,"Davíð Ólafsson","202407250905",690,-51
243,"Mateusz Mak","202407250905",860,-52
2423,"Mbaye N'Diaye","202407250905",1366,-52
2461,"Taofeek Ismaheel","202407250905",769,-53
2315,"Danny Trejo","202407250905",332,-54
1946,"Fabio Nunes","202407250905",437,-54
2032,"Oskar Leśniak","202407250905",2501,-59
1252,"Marcel Wędrychowski","202407250905",457,-61
2053,"Sebastian Madejski","202407250905",404,-62
382,"Dominik Hładun","202407250905",803,-63
701,"Patryk Kun","202407250905",505,-65
2016,"Jakub Lewicki","202407250905",576,-67
2047,"Dawid Kurminowski","202407250905",2734,-69
