"1","X","2","DATE","home_f","home_s","away_f","away_s","update-date"
"2.45","3.15","3.2","19.04. 18:00","KORONA KIELCE","KOR","RADOMIAK RADOM","RAD","202404190832"
"1.6","4.2","6","19.04. 20:30","RAKÓW CZĘSTOCHOWA","RCZ","GÓRNIK ZABRZE","GÓR","202404190832"
"1.91","3.5","4.1","20.04. 15:00","POGOŃ SZCZECIN","POG","PIAST GLIWICE","PIA","202404190832"
"2.55","3.35","2.75","20.04. 17:30","RUCH CHORZÓW","RCH","WIDZEW ŁÓDŹ","WID","202404190832"
"2.9","3.55","2.38","20.04. 20:00","KGHM ZAGŁĘBIE LUBIN","ZAG","JAGIELLONIA BIAŁYSTOK","JAG","202404190832"
"1.7","3.85","5","21.04. 12:30","CRACOVIA","CRA","PUSZCZA NIEPOŁOMICE","PUN","202404190832"
"5.2","4.1","1.64","21.04. 15:00","ŁKS ŁÓDŹ","ŁKS","LECH POZNAŃ","LPO","202404190832"
"1.73","3.75","4.9","21.04. 17:30","LEGIA WARSZAWA","LEG","ŚLĄSK WROCŁAW","ŚLA","202404190832"
"2.11","3.1","3.8","22.04. 19:00","WARTA POZNAŃ","WAR","PGE FKS STAL MIELEC","STM","202404190832"
"1.95","3.15","4.7","26.04. 18:00","PIAST GLIWICE","PIA","WARTA POZNAŃ","WAR","202404261224"
"2.16","3.8","3.2","26.04. 20:30","JAGIELLONIA BIAŁYSTOK","JAG","POGOŃ SZCZECIN","POG","202404261224"
"1.63","4.1","5.2","27.04. 15:00","GÓRNIK ZABRZE","GÓR","ŁKS ŁÓDŹ","ŁKS","202404261224"
"2.1","3.3","3.65","27.04. 17:30","ŚLĄSK WROCŁAW","ŚLA","RUCH CHORZÓW","RCH","202404261224"
"3.65","3.55","2.02","27.04. 20:00","WIDZEW ŁÓDŹ","WID","RAKÓW CZĘSTOCHOWA","RCZ","202404261224"
"2.45","3.3","2.95","28.04. 12:30","RADOMIAK RADOM","RAD","KGHM ZAGŁĘBIE LUBIN","ZAG","202404261224"
"4.8","3.8","1.73","28.04. 15:00","PGE FKS STAL MIELEC","STM","LEGIA WARSZAWA","LEG","202404261224"
"1.92","3.55","4.1","28.04. 17:30","LECH POZNAŃ","LPO","CRACOVIA","CRA","202404261224"
"2.95","3.2","2.45","29.04. 19:00","PUSZCZA NIEPOŁOMICE","PUN","KORONA KIELCE","KOR","202404261224"
"2.44","3.5","2.8","03.05. 18:00","CRACOVIA","CRA","GÓRNIK ZABRZE","GÓR","202405011033"
"3.6","3.55","2.04","03.05. 20:30","RUCH CHORZÓW","RCH","LECH POZNAŃ","LPO","202405011033"
"4.1","3.65","1.84","04.05. 15:00","ŁKS ŁÓDŹ","ŁKS","ŚLĄSK WROCŁAW","ŚLA","202405011033"
"3.5","3.55","2.05","04.05. 17:30","KGHM ZAGŁĘBIE LUBIN","ZAG","RAKÓW CZĘSTOCHOWA","RCZ","202405011033"
"4.5","3.85","1.72","04.05. 20:00","PGE FKS STAL MIELEC","STM","JAGIELLONIA BIAŁYSTOK","JAG","202405011033"
"2.55","3.1","2.9","05.05. 12:30","WARTA POZNAŃ","WAR","WIDZEW ŁÓDŹ","WID","202405011033"
"2.75","3.05","2.75","05.05. 15:00","KORONA KIELCE","KOR","PIAST GLIWICE","PIA","202405011033"
"1.51","4.3","6","05.05. 17:30","LEGIA WARSZAWA","LEG","RADOMIAK RADOM","RAD","202405011033"
"1.46","4.6","6.4","06.05. 19:00","POGOŃ SZCZECIN","POG","PUSZCZA NIEPOŁOMICE","PUN","202405011033"
"1.49","4.4","6.2","10.05. 18:00","PIAST GLIWICE","PIA","ŁKS ŁÓDŹ","ŁKS","202405071601"
"2.34","3.25","3.1","10.05. 20:30","ŚLĄSK WROCŁAW","ŚLA","CRACOVIA","CRA","202405071601"
"1.61","4","5.2","11.05. 15:00","GÓRNIK ZABRZE","GÓR","PGE FKS STAL MIELEC","STM","202405071601"
"1.61","4.1","5.2","11.05. 17:30","JAGIELLONIA BIAŁYSTOK","JAG","KORONA KIELCE","KOR","202405071601"
"1.85","3.75","3.95","11.05. 20:00","RAKÓW CZĘSTOCHOWA","RCZ","POGOŃ SZCZECIN","POG","202405071601"
"2.75","3","2.8","12.05. 12:30","PUSZCZA NIEPOŁOMICE","PUN","WARTA POZNAŃ","WAR","202405071601"
"2.24","3.45","3.1","12.05. 15:00","WIDZEW ŁÓDŹ","WID","KGHM ZAGŁĘBIE LUBIN","ZAG","202405071601"
"2.55","3.4","2.65","12.05. 17:30","LECH POZNAŃ","LPO","LEGIA WARSZAWA","LEG","202405071601"
"2.01","3.4","3.6","13.05. 19:00","RADOMIAK RADOM","RAD","RUCH CHORZÓW","RCH","202405071601"
"4.8","4.4","1.63","17.05. 18:00","PGE FKS STAL MIELEC","STM","POGOŃ SZCZECIN","POG","202405142105"
"1.62","4.1","5.2","17.05. 20:30","GÓRNIK ZABRZE","GÓR","PUSZCZA NIEPOŁOMICE","PUN","202405142105"
"1.77","3.65","4.5","18.05. 15:00","KORONA KIELCE","KOR","RUCH CHORZÓW","RCH","202405142105"
"1.9","3.45","4.1","18.05. 17:30","ŚLĄSK WROCŁAW","ŚLA","RADOMIAK RADOM","RAD","202405142105"
"2.7","3.6","2.45","18.05. 20:00","PIAST GLIWICE","PIA","JAGIELLONIA BIAŁYSTOK","JAG","202405142105"
"3.5","3.55","2.02","19.05. 12:30","CRACOVIA","CRA","RAKÓW CZĘSTOCHOWA","RCZ","202405142105"
"4.8","3.65","1.74","19.05. 15:00","WARTA POZNAŃ","WAR","LEGIA WARSZAWA","LEG","202405142105"
"3.4","3.5","2.08","19.05. 17:30","WIDZEW ŁÓDŹ","WID","LECH POZNAŃ","LPO","202405142105"
